,Unnamed: 0,Weapon,Kills,Damage,Shots,Hits,Accuracy,Cumulative play time,Player,Competition
24,,Longbow DMR,0,0,5,-,0%,0h 0m 6s,LGND Koyful,Y4-Split1 ALGS-Playoffs
25,,R-99 SMG,0,0,-,-,NAN%,0h 0m 4s,LGND Koyful,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,20,8299,2058,500,24.3%,0h 56m 32s,SSG Xynew,Y4-Split1 ALGS-Playoffs
1,,Hemlok Burst AR,14,8823,2797,535,19.13%,2h 1m 9s,SSG Xynew,Y4-Split1 ALGS-Playoffs
2,,G7 Scout,4,5958,1103,215,19.49%,1h 11m 37s,SSG Xynew,Y4-Split1 ALGS-Playoffs
3,,Volt SMG,4,1529,392,116,29.59%,0h 11m 52s,SSG Xynew,Y4-Split1 ALGS-Playoffs
4,,VK-47 Flatline,3,436,186,29,15.59%,0h 10m 27s,SSG Xynew,Y4-Split1 ALGS-Playoffs
5,,Wingman,3,950,-,21,-,0h 0m 0s,SSG Xynew,Y4-Split1 ALGS-Playoffs
6,,Mozambique Shotgun,0,0,8,-,-,0h 0m 6s,SSG Xynew,Y4-Split1 ALGS-Playoffs
7,,P2020,0,0,-,-,NAN%,0h 0m 3s,SSG Xynew,Y4-Split1 ALGS-Playoffs
8,,Arc Star,0,501,-,14,-,0h 0m 0s,SSG Xynew,Y4-Split1 ALGS-Playoffs
9,,C.A.R. SMG,0,42,69,4,5.8%,0h 1m 11s,SSG Xynew,Y4-Split1 ALGS-Playoffs
10,,Triple Take,0,0,-,-,-,0h 0m 13s,SSG Xynew,Y4-Split1 ALGS-Playoffs
11,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 7s,SSG Xynew,Y4-Split1 ALGS-Playoffs
12,,Prowler Burst PDW,0,0,10,-,0%,0h 0m 39s,SSG Xynew,Y4-Split1 ALGS-Playoffs
13,,L-STAR EMG,0,0,6,-,0%,0h 0m 6s,SSG Xynew,Y4-Split1 ALGS-Playoffs
14,,R-99 SMG,0,0,19,-,0%,0h 1m 14s,SSG Xynew,Y4-Split1 ALGS-Playoffs
15,,Rampage LMG,0,122,11,5,45.45%,0h 2m 1s,SSG Xynew,Y4-Split1 ALGS-Playoffs
16,,Nemesis Burst AR,0,268,260,18,6.92%,0h 9m 3s,SSG Xynew,Y4-Split1 ALGS-Playoffs
17,,Frag Grenade,0,426,-,8,-,0h 0m 0s,SSG Xynew,Y4-Split1 ALGS-Playoffs
18,,Alternator SMG,0,182,99,13,13.13%,0h 3m 28s,SSG Xynew,Y4-Split1 ALGS-Playoffs
19,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 17s,SSG Xynew,Y4-Split1 ALGS-Playoffs
20,,RE-45 Auto,0,0,12,-,0%,0h 0m 30s,SSG Xynew,Y4-Split1 ALGS-Playoffs
21,,Peacekeeper,0,0,2,-,-,0h 0m 16s,SSG Xynew,Y4-Split1 ALGS-Playoffs
22,,30-30 Repeater,0,0,-,-,NAN%,0h 0m 7s,SSG Xynew,Y4-Split1 ALGS-Playoffs
23,,Charge Rifle,0,1711,71,-,-,0h 10m 7s,SSG Xynew,Y4-Split1 ALGS-Playoffs
24,,Devotion LMG,0,0,-,-,NAN%,0h 0m 7s,SSG Xynew,Y4-Split1 ALGS-Playoffs
25,,Longbow DMR,0,611,56,11,19.64%,0h 6m 22s,SSG Xynew,Y4-Split1 ALGS-Playoffs
26,,Sentinel,0,0,-,-,NAN%,0h 0m 2s,SSG Xynew,Y4-Split1 ALGS-Playoffs
0,,Hemlok Burst AR,3,2312,931,121,13%,0h 26m 32s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
1,,30-30 Repeater,3,1018,129,24,18.6%,0h 17m 25s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
2,,Volt SMG,2,489,150,37,24.67%,0h 5m 10s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
3,,Prowler Burst PDW,2,807,164,61,37.2%,0h 3m 34s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
4,,Nemesis Burst AR,1,1312,402,92,22.89%,0h 13m 23s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
5,,Alternator SMG,0,0,6,-,0%,0h 1m 9s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
6,,Mozambique Shotgun,0,0,-,-,-,0h 0m 6s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
7,,Triple Take,0,1143,72,-,-,0h 13m 8s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
8,,C.A.R. SMG,0,12,11,1,9.09%,0h 0m 43s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
9,,R-301 Carbine,0,0,11,-,0%,0h 0m 9s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
10,,G7 Scout,0,260,36,8,22.22%,0h 1m 22s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
11,,HAVOC Rifle,0,560,224,31,13.84%,0h 10m 31s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
12,,P2020,0,0,-,-,NAN%,0h 0m 4s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
13,,L-STAR EMG,0,86,33,5,15.15%,0h 0m 27s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
14,,VK-47 Flatline,0,301,120,38,31.67%,0h 9m 10s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
15,,Rampage LMG,0,0,4,-,0%,0h 0m 21s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
16,,Longbow DMR,0,0,8,-,0%,0h 0m 22s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
17,,Frag Grenade,0,404,-,6,-,0h 0m 0s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
18,,Arc Star,0,23,-,1,-,0h 0m 0s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
19,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 1s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
20,,Sentinel,0,250,38,4,10.53%,0h 11m 22s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
21,,Melee,0,30,-,1,-,0h 0m 0s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
22,,RE-45 Auto,0,0,1,-,0%,0h 0m 3s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
23,,Mastiff Shotgun,0,0,-,-,-,0h 0m 1s,NTH ReyzyGG,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,10,6777,2252,415,18.43%,1h 7m 53s,LG Sweet,Y4-Split1 ALGS-Playoffs
1,,RE-45 Auto,6,1357,445,109,24.49%,0h 7m 8s,LG Sweet,Y4-Split1 ALGS-Playoffs
2,,Nemesis Burst AR,4,6969,2644,466,17.62%,1h 16m 17s,LG Sweet,Y4-Split1 ALGS-Playoffs
3,,Mozambique Shotgun,4,2175,101,-,-,0h 9m 45s,LG Sweet,Y4-Split1 ALGS-Playoffs
4,,Hemlok Burst AR,3,2709,897,149,16.61%,0h 35m 38s,LG Sweet,Y4-Split1 ALGS-Playoffs
5,,Frag Grenade,2,591,-,9,-,0h 0m 0s,LG Sweet,Y4-Split1 ALGS-Playoffs
6,,Volt SMG,1,230,197,18,9.14%,0h 4m 52s,LG Sweet,Y4-Split1 ALGS-Playoffs
7,,30-30 Repeater,0,175,13,4,30.77%,0h 2m 21s,LG Sweet,Y4-Split1 ALGS-Playoffs
8,,Prowler Burst PDW,0,174,108,12,11.11%,0h 3m 23s,LG Sweet,Y4-Split1 ALGS-Playoffs
9,,L-STAR EMG,0,0,7,-,0%,0h 0m 40s,LG Sweet,Y4-Split1 ALGS-Playoffs
10,,C.A.R. SMG,0,0,22,-,0%,0h 0m 44s,LG Sweet,Y4-Split1 ALGS-Playoffs
11,,VK-47 Flatline,0,579,251,34,13.55%,0h 9m 10s,LG Sweet,Y4-Split1 ALGS-Playoffs
12,,Arc Star,0,754,-,24,-,0h 0m 0s,LG Sweet,Y4-Split1 ALGS-Playoffs
13,,Alternator SMG,0,0,6,-,0%,0h 0m 13s,LG Sweet,Y4-Split1 ALGS-Playoffs
14,,Triple Take,0,216,39,-,-,0h 8m 23s,LG Sweet,Y4-Split1 ALGS-Playoffs
15,,EVA-8 Auto,0,602,-,-,-,0h 0m 0s,LG Sweet,Y4-Split1 ALGS-Playoffs
16,,Thermite Grenade,0,113,-,32,-,0h 0m 0s,LG Sweet,Y4-Split1 ALGS-Playoffs
17,,G7 Scout,0,0,-,-,NAN%,0h 0m 8s,LG Sweet,Y4-Split1 ALGS-Playoffs
18,,Mastiff Shotgun,0,0,-,-,-,0h 0m 8s,LG Sweet,Y4-Split1 ALGS-Playoffs
19,,Kraber .50-Cal Sniper,0,686,-,6,-,0h 4m 20s,LG Sweet,Y4-Split1 ALGS-Playoffs
20,,Melee,0,8,-,1,-,0h 0m 0s,LG Sweet,Y4-Split1 ALGS-Playoffs
21,,Sentinel,0,95,2,1,50%,0h 1m 5s,LG Sweet,Y4-Split1 ALGS-Playoffs
22,,Bocek Compound Bow,0,812,-,21,-,0h 1m 32s,LG Sweet,Y4-Split1 ALGS-Playoffs
23,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 57s,LG Sweet,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,3,2820,1209,174,14.39%,0h 29m 17s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
1,,Alternator SMG,2,884,253,55,21.74%,0h 4m 6s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
2,,Volt SMG,2,278,163,21,12.88%,0h 3m 3s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
3,,Sentinel,2,283,14,3,21.43%,0h 4m 16s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
4,,Hemlok Burst AR,1,2468,883,132,14.95%,0h 27m 29s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
5,,Nemesis Burst AR,1,1414,563,97,17.23%,0h 17m 58s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
6,,VK-47 Flatline,1,1031,309,62,20.06%,0h 9m 4s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
7,,EVA-8 Auto,1,168,-,-,-,0h 0m 0s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
8,,Prowler Burst PDW,0,0,10,-,0%,0h 0m 20s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
9,,30-30 Repeater,0,0,-,-,NAN%,0h 0m 20s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
10,,R-99 SMG,0,0,9,-,0%,0h 0m 21s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
11,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 2s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
12,,Rampage LMG,0,0,24,-,0%,0h 0m 19s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
13,,R-301 Carbine,0,0,4,-,0%,0h 0m 12s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
14,,C.A.R. SMG,0,193,134,17,12.69%,0h 0m 57s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
15,,Mozambique Shotgun,0,0,-,-,-,0h 0m 12s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
16,,Arc Star,0,183,-,4,-,0h 0m 0s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
17,,Mastiff Shotgun,0,0,-,-,-,0h 0m 31s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
18,,Triple Take,0,63,4,-,-,0h 2m 6s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
19,,Frag Grenade,0,185,-,2,-,0h 0m 0s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
20,,L-STAR EMG,0,68,30,19,63.33%,0h 0m 40s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
21,,Charge Rifle,0,150,-,-,-,0h 0m 30s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
22,,Peacekeeper,0,202,-,-,-,0h 0m 2s,MDYW LqDuD,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,9,4056,860,300,34.88%,0h 26m 15s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
1,,Hemlok Burst AR,5,4131,1850,237,12.81%,0h 49m 19s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
2,,Volt SMG,3,783,277,55,19.86%,0h 8m 20s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
3,,VK-47 Flatline,1,1290,464,78,16.81%,0h 11m 0s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
4,,R-301 Carbine,1,317,146,25,17.12%,0h 5m 41s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
5,,C.A.R. SMG,1,82,28,7,25%,0h 0m 48s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
6,,L-STAR EMG,1,360,146,21,14.38%,0h 2m 11s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
7,,Rampage LMG,0,258,224,11,4.91%,0h 9m 57s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
8,,Devotion LMG,0,0,20,-,0%,0h 0m 37s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
9,,Mozambique Shotgun,0,0,18,-,-,0h 0m 13s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
10,,Arc Star,0,224,-,4,-,0h 0m 0s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
11,,RE-45 Auto,0,0,4,-,0%,0h 0m 10s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
12,,Nemesis Burst AR,0,122,25,9,36%,0h 1m 19s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
13,,Prowler Burst PDW,0,0,23,-,0%,0h 0m 22s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
14,,Triple Take,0,0,-,-,-,0h 0m 31s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
15,,30-30 Repeater,0,413,173,10,5.78%,0h 14m 29s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
16,,Frag Grenade,0,444,-,9,-,0h 0m 0s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
17,,Alternator SMG,0,67,62,4,6.45%,0h 2m 10s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
18,,Longbow DMR,0,664,98,11,11.22%,0h 18m 10s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
19,,G7 Scout,0,88,33,5,15.15%,0h 1m 16s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
20,,Sentinel,0,190,31,2,6.45%,0h 8m 41s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
21,,R-99 SMG,0,0,4,-,0%,0h 0m 5s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
22,,M600 Spitfire,0,0,4,-,0%,0h 0m 6s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
23,,P2020,0,0,10,-,0%,0h 0m 18s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
24,,Peacekeeper,0,0,-,-,-,0h 0m 6s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
25,,Charge Rifle,0,0,-,-,-,0h 0m 4s,TLAW jaguaresl,Y4-Split1 ALGS-Playoffs
0,,Volt SMG,11,4233,1165,304,26.09%,0h 36m 23s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
1,,Triple Take,6,7225,617,-,-,1h 35m 25s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
2,,L-STAR EMG,4,160,120,14,11.67%,0h 1m 50s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
3,,R-99 SMG,2,749,252,76,30.16%,0h 10m 20s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
4,,HAVOC Rifle,2,804,222,49,22.07%,0h 10m 9s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
5,,C.A.R. SMG,1,1640,593,149,25.13%,0h 11m 47s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
6,,Prowler Burst PDW,1,105,60,8,13.33%,0h 3m 16s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
7,,G7 Scout,1,1143,213,40,18.78%,0h 26m 56s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
8,,30-30 Repeater,1,2395,318,59,18.55%,0h 50m 26s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
9,,Nemesis Burst AR,0,294,106,19,17.92%,0h 3m 52s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
10,,RE-45 Auto,0,0,3,-,0%,0h 0m 17s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
11,,Frag Grenade,0,193,-,7,-,0h 0m 0s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
12,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 4s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
13,,Hemlok Burst AR,0,3241,821,169,20.58%,1h 2m 40s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
14,,Arc Star,0,64,-,2,-,0h 0m 0s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
15,,Devotion LMG,0,0,-,-,NAN%,0h 0m 2s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
16,,Longbow DMR,0,226,14,5,35.71%,0h 3m 47s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
17,,Bocek Compound Bow,0,576,-,9,-,0h 3m 1s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
18,,Alternator SMG,0,307,91,19,20.88%,0h 4m 16s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
19,,R-301 Carbine,0,349,183,28,15.3%,0h 13m 18s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
20,,Mastiff Shotgun,0,0,-,-,-,0h 0m 5s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
21,,Rampage LMG,0,0,-,-,NAN%,0h 0m 25s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
22,,Sentinel,0,0,-,-,NAN%,0h 0m 15s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
23,,Mozambique Shotgun,0,0,-,-,-,0h 0m 8s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
24,,VK-47 Flatline,0,0,42,-,0%,0h 1m 23s,SRN Jeskoesk,Y4-Split1 ALGS-Playoffs
0,,Volt SMG,11,4253,1217,306,25.14%,1h 1m 50s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
1,,HAVOC Rifle,11,3669,928,212,22.84%,0h 36m 13s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
2,,30-30 Repeater,4,8470,801,177,22.1%,1h 51m 21s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
3,,Nemesis Burst AR,2,1858,667,127,19.04%,0h 22m 2s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
4,,VK-47 Flatline,2,1306,368,79,21.47%,0h 19m 54s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
5,,Thermite Grenade,1,391,-,128,-,0h 0m 0s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
6,,C.A.R. SMG,1,282,97,25,25.77%,0h 3m 5s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
7,,G7 Scout,0,3467,794,120,15.11%,1h 16m 57s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
8,,Rampage LMG,0,0,38,-,0%,0h 1m 3s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
9,,Alternator SMG,0,0,121,-,0%,0h 2m 24s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
10,,Hemlok Burst AR,0,1270,546,69,12.64%,0h 31m 42s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
11,,Mozambique Shotgun,0,0,-,-,-,0h 0m 23s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
12,,L-STAR EMG,0,108,50,7,14%,0h 1m 3s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
13,,R-99 SMG,0,187,121,17,14.05%,0h 4m 56s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
14,,R-301 Carbine,0,168,57,13,22.81%,0h 3m 42s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
15,,Mastiff Shotgun,0,0,-,-,-,0h 0m 14s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
16,,RE-45 Auto,0,0,-,-,NAN%,0h 1m 48s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
17,,Prowler Burst PDW,0,166,250,12,4.8%,0h 4m 34s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
18,,Arc Star,0,302,-,11,-,0h 0m 0s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
19,,P2020,0,0,-,-,NAN%,0h 0m 11s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
20,,Peacekeeper,0,0,4,-,-,0h 0m 14s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
21,,Triple Take,0,0,-,-,-,0h 0m 14s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
22,,M600 Spitfire,0,0,8,-,0%,0h 0m 55s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
23,,Sentinel,0,0,-,-,NAN%,0h 0m 4s,C9 ChaoticMuch,Y4-Split1 ALGS-Playoffs
0,,Mozambique Shotgun,1,418,29,-,-,0h 0m 34s,NTC corn,Y4-Split1 ALGS-Playoffs
1,,M600 Spitfire,1,276,138,18,13.04%,0h 3m 52s,NTC corn,Y4-Split1 ALGS-Playoffs
2,,L-STAR EMG,0,0,10,-,0%,0h 0m 32s,NTC corn,Y4-Split1 ALGS-Playoffs
3,,Mastiff Shotgun,0,0,-,-,-,0h 0m 50s,NTC corn,Y4-Split1 ALGS-Playoffs
4,,Hemlok Burst AR,0,1074,626,53,8.47%,0h 18m 57s,NTC corn,Y4-Split1 ALGS-Playoffs
5,,Peacekeeper,0,163,-,-,-,0h 1m 28s,NTC corn,Y4-Split1 ALGS-Playoffs
6,,RE-45 Auto,0,162,48,14,29.17%,0h 1m 24s,NTC corn,Y4-Split1 ALGS-Playoffs
7,,30-30 Repeater,0,281,86,6,6.98%,0h 7m 31s,NTC corn,Y4-Split1 ALGS-Playoffs
8,,Nemesis Burst AR,0,202,156,11,7.05%,0h 5m 14s,NTC corn,Y4-Split1 ALGS-Playoffs
9,,R-99 SMG,0,9,17,1,5.88%,0h 0m 15s,NTC corn,Y4-Split1 ALGS-Playoffs
10,,C.A.R. SMG,0,192,222,17,7.66%,0h 4m 19s,NTC corn,Y4-Split1 ALGS-Playoffs
11,,Alternator SMG,0,103,64,7,10.94%,0h 2m 25s,NTC corn,Y4-Split1 ALGS-Playoffs
12,,R-301 Carbine,0,210,147,17,11.56%,0h 5m 4s,NTC corn,Y4-Split1 ALGS-Playoffs
13,,P2020,0,0,4,-,0%,0h 0m 5s,NTC corn,Y4-Split1 ALGS-Playoffs
14,,Triple Take,0,0,21,-,-,0h 2m 36s,NTC corn,Y4-Split1 ALGS-Playoffs
15,,VK-47 Flatline,0,42,8,3,37.5%,0h 0m 22s,NTC corn,Y4-Split1 ALGS-Playoffs
16,,Rampage LMG,0,0,-,-,NAN%,0h 0m 6s,NTC corn,Y4-Split1 ALGS-Playoffs
17,,Arc Star,0,70,-,3,-,0h 0m 0s,NTC corn,Y4-Split1 ALGS-Playoffs
18,,Prowler Burst PDW,0,151,112,10,8.93%,0h 1m 46s,NTC corn,Y4-Split1 ALGS-Playoffs
19,,G7 Scout,0,0,10,-,0%,0h 0m 13s,NTC corn,Y4-Split1 ALGS-Playoffs
20,,HAVOC Rifle,0,65,9,3,33.33%,0h 0m 50s,NTC corn,Y4-Split1 ALGS-Playoffs
21,,Volt SMG,0,0,60,-,0%,0h 0m 46s,NTC corn,Y4-Split1 ALGS-Playoffs
22,,Sentinel,0,0,2,-,0%,0h 1m 15s,NTC corn,Y4-Split1 ALGS-Playoffs
23,,Charge Rifle,0,75,3,-,-,0h 0m 48s,NTC corn,Y4-Split1 ALGS-Playoffs
24,,Thermite Grenade,0,44,-,14,-,0h 0m 0s,NTC corn,Y4-Split1 ALGS-Playoffs
0,,Hemlok Burst AR,11,6682,2315,365,15.77%,1h 8m 10s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
1,,Volt SMG,9,2236,756,166,21.96%,0h 13m 35s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
2,,HAVOC Rifle,8,2463,638,151,23.67%,0h 19m 8s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
3,,R-99 SMG,2,684,241,72,29.88%,0h 6m 9s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
4,,C.A.R. SMG,1,218,61,22,36.07%,0h 1m 0s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
5,,30-30 Repeater,1,1428,211,34,16.11%,0h 19m 11s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
6,,VK-47 Flatline,0,110,123,7,5.69%,0h 4m 29s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
7,,P2020,0,0,-,-,NAN%,0h 0m 15s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
8,,Mozambique Shotgun,0,0,-,-,-,0h 0m 2s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
9,,Nemesis Burst AR,0,62,143,4,2.8%,0h 5m 15s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
10,,Mastiff Shotgun,0,0,12,-,-,0h 0m 14s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
11,,Rampage LMG,0,0,33,-,0%,0h 0m 47s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
12,,RE-45 Auto,0,0,15,-,0%,0h 0m 6s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
13,,R-301 Carbine,0,0,2,-,0%,0h 0m 14s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
14,,Alternator SMG,0,0,17,-,0%,0h 0m 16s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
15,,L-STAR EMG,0,0,-,-,NAN%,0h 0m 20s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
16,,Longbow DMR,0,0,-,-,NAN%,0h 0m 4s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
17,,Frag Grenade,0,360,-,8,-,0h 0m 0s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
18,,Peacekeeper,0,0,4,-,-,0h 0m 27s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
19,,G7 Scout,0,0,9,-,0%,0h 0m 22s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
20,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 8s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
21,,Triple Take,0,0,-,-,-,0h 0m 17s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
22,,Arc Star,0,54,-,2,-,0h 0m 0s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
23,,Devotion LMG,0,0,-,-,NAN%,0h 0m 2s,NAVI KIND4,Y4-Split1 ALGS-Playoffs
0,,Volt SMG,8,2399,540,174,32.22%,0h 26m 46s,OXG Aidan,Y4-Split1 ALGS-Playoffs
1,,Prowler Burst PDW,6,679,257,53,20.62%,0h 6m 1s,OXG Aidan,Y4-Split1 ALGS-Playoffs
2,,VK-47 Flatline,1,1252,568,75,13.2%,0h 29m 20s,OXG Aidan,Y4-Split1 ALGS-Playoffs
3,,HAVOC Rifle,1,551,301,34,11.3%,0h 13m 9s,OXG Aidan,Y4-Split1 ALGS-Playoffs
